APIGateway,AuthService,10
AuthService,UserService,8
UserService,ProfileService,12
ProfileService,SessionService,7
SessionService,ShoppingCartService,15
ShoppingCartService,OrderService,20
OrderService,PaymentGateway,25
PaymentGateway,BillingService,10
BillingService,InvoiceService,6
InvoiceService,ShippingService,30
ShippingService,InventoryService,18
InventoryService,ProductCatalogService,14
ProductCatalogService,RecommendationService,40
RecommendationService,SearchService,35
SearchService,ProductDB,22
ProductDB,OrderDB,50
OrderDB,AnalyticsDB,120
AnalyticsDB,UserDB,110
UserDB,CacheService,5
CacheService,ImageProcessingService,28
ImageProcessingService,MobileGateway,15
MobileGateway,WebServiceGateway,12
WebServiceGateway,ConfigService,9
ConfigService,ServiceDiscovery,7
ServiceDiscovery,LoggingService,4
LoggingService,MetricsService,3
MetricsService,NotificationService,16
NotificationService,EmailService,20
EmailService,SMSService,25
APIGateway,UserService,15
APIGateway,ProductCatalogService,20
APIGateway,MobileGateway,5
APIGateway,WebServiceGateway,5
MobileGateway,UserService,18
WebServiceGateway,ProfileService,22
OrderService,InventoryService,10
OrderService,ShippingService,25
OrderService,OrderDB,8
UserService,UserDB,6
AuthService,SessionService,4
ProductCatalogService,ProductDB,7
ProductCatalogService,SearchService,15
SearchService,RecommendationService,30
PaymentGateway,InvoiceService,40
NotificationService,SMSService,15
LoggingService,OrderService,5
LoggingService,UserService,5
LoggingService,PaymentGateway,6
LoggingService,ProductDB,10
MetricsService,OrderService,5
MetricsService,UserService,5
MetricsService,OrderDB,12
MetricsService,UserDB,11
MetricsService,APIGateway,3
AnalyticsDB,ProductDB,130
CacheService,ProductDB,4
CacheService,SessionService,2
ShoppingCartService,InventoryService,18
ShippingService,OrderDB,20
AuthService,UserDB,10